,freq.,title,author,words,code
164,47,The Quest,Frederik van Eeden,"['fragrance', 'stench', 'musty', 'scent', 'perfume', 'smell', 'pungent', 'ripe', 'aroma', 'scented', 'musk', 'sniff']",40657
165,47,Tarzan the Untamed,Edgar Rice Burroughs,"['scent', 'fetid', 'smell', 'putrid', 'stench', 'musty', 'scented']",1401
166,47,The Pastor's Wife,Elizabeth von Arnim,"['fragrance', 'smell', 'ripe', 'aromatic', 'savour', 'perfume', 'scented', 'pungent', 'scent', 'odour']",36295
167,47,The Poetical Works of Thomas Hood,Thomas Hood,"['aromatic', 'musk', 'odorous', 'ripe', 'perfume', 'fragrance', 'scented', 'sniff', 'smell', 'whiff', 'bouquet', 'scent', 'waft']",15652
168,47,Robert Falconer,George MacDonald,"['smell', 'ripe', 'musty', 'odour', 'scent', 'waft', 'fragrance', 'aroma', 'savour', 'odorous', 'musk', 'pungent', 'fetid', 'scented', 'stench', 'stink']",2561
169,47,The Story Of Julia Page,Kathleen Norris,"['odour', 'odorous', 'reek', 'musty', 'ripe', 'smell', 'perfume', 'bouquet', 'pungent', 'scent', 'scented', 'savour', 'fragrance', 'whiff', 'acrid', 'aromatic']",4787
170,47,Madame Bovary,Gustave Flaubert,"['smell', 'odour', 'bouquet', 'perfume', 'odorous', 'aroma', 'scent', 'ripe', 'aromatic']",2413
171,47,The Battle Ground,Ellen Glasgow,"['sniff', 'ripe', 'perfume', 'smell', 'fragrance', 'scented', 'scent', 'odour', 'aroma', 'musk']",6872
172,47,A Son of the Sahara,Louise Gerard,"['perfume', 'fragrance', 'scented', 'scent', 'savour', 'smell', 'sniff', 'odour', 'ripe', 'acrid']",36914
173,47,Juggernaut,Alice Campbell,"['perfume', 'scented', 'scent', 'fragrance', 'savour', 'odour', 'smell', 'pungent', 'acrid', 'stench']",27824
174,47,The Swiss Family Robinson,Jean Rudolph Wyss,"['smell', 'perfume', 'ripe', 'aromatic', 'ripeness', 'scented', 'scent', 'musk', 'musky']",34808
175,47,The Sick-a-Bed Lady,Eleanor Hallowell Abbott,"['smell', 'sniff', 'scent', 'whiff', 'pungent', 'waft', 'fragrance', 'musty', 'perfume', 'aroma', 'ripe', 'odorous']",34829
176,47,The Extra Day,Algernon Blackwood,"['smell', 'odour', 'perfume', 'scent', 'scented', 'fragrance', 'sniff']",5894
177,46,Short Stories for High Schools,Various,"['aromatic', 'perfume', 'smell', 'fragrance', 'scent', 'piney', 'aroma', 'scented', 'whiff']",50543
178,46,The Downfall,Émile Zola,"['scent', 'smell', 'ripe', 'perfume', 'pungent', 'stench', 'putrid', 'odour', 'acrid', 'stink', 'scented']",56799
179,46,Uther and Igraine,Warwick Deeping,"['scent', 'sniff', 'scented', 'ripe', 'perfume', 'odour', 'smell', 'savour', 'pungent', 'fragrance', 'musk']",52139
180,46,The Cloister and the Hearth,Charles Reade,"['musty', 'perfume', 'scent', 'scented', 'pungent', 'smell', 'odour', 'fetid', 'stink', 'ripe', 'savour', 'stench', 'reek']",38895
181,46,After the Divorce,Grazia Deledda,"['fragrance', 'odour', 'scent', 'perfume', 'fetid', 'ripe', 'smell', 'aromatic', 'acrid', 'waft']",39834
182,46,Corpus of a Siam Mosquito,Steven Sills,"['fetid', 'sniff', 'smell', 'stench', 'musty', 'whiff', 'stink', 'acrid']",5176
183,46,Mare Nostrum (Our Sea),Vicente Blasco Ibanez,"['perfume', 'acrid', 'fetid', 'bouquet', 'sniff', 'smell', 'scent', 'ripe', 'musty', 'scented', 'ripeness', 'pungent', 'fragrance']",11697
184,46,The Vertical City,Fannie Hurst,"['scent', 'scented', 'sniff', 'perfume', 'smell', 'aroma', 'fragrance', 'bouquet', 'stink', 'stench', 'pungent', 'pungency', 'whiff', 'fetid']",12659
185,46,"The Adventures of Harry Richmond, Complete",George Meredith,"['smell', 'ripe', 'musty', 'whiff', 'scent', 'perfume', 'odour', 'bouquet', 'acrid', 'savour', 'scented', 'stink', 'piney', 'reek']",4452
186,46,"One of Our Conquerors, Complete",George Meredith,"['reek', 'aromatic', 'aroma', 'ripe', 'scent', 'sniff', 'bouquet', 'smell', 'stench', 'pungent', 'whiff', 'savour', 'odour', 'ripeness', 'perfume']",4476
187,46,Orlando Furioso,Lodovico Ariosto,"['scented', 'scent', 'perfume', 'ripe', 'odorous', 'savour', 'odour', 'smell', 'stink', 'fetid', 'fragrance', 'musk', 'stench', 'reek', 'waft']",615
