
195,62,A Treatise on Physiology and Hygiene,Joseph Chrisman Hutchison,"['smell', 'perfume', 'ripe', 'putrid', 'pungent', 'acrid', 'pungency', 'odorous', 'musk', 'scent']",34211
196,62,Of The Nature of Things,Lucretius,"['scented', 'scent', 'pungent', 'odour', 'smell', 'whiff', 'odorous', 'ripe', 'perfume', 'bouquet', 'redolence', 'savour', 'fragrance', 'stench', 'putrid', 'sniff', 'fetid', 'reek', 'stink']",785
197,61,O. Henry Memorial Award Prize Stories of 1921,Various,"['fragrance', 'perfume', 'pungent', 'stink', 'fetid', 'smell', 'odorous', 'scented', 'scent', 'odour', 'ripe', 'aromatic', 'musk', 'stench', 'ripeness', 'sniff']",11512
199,61,Diversions of a Naturalist,Edwin Ray Lankester,"['reek', 'smell', 'odour', 'perfume', 'ripe', 'scent', 'musk', 'odorous', 'whiff', 'scented', 'aromatic', 'putrid']",61195
205,61,Fruits of the Hawaiian Islands,Gerrit Parmile Wilder,"['ripe', 'perfume', 'aromatic', 'odorous', 'fragrance', 'scented']",43581
207,61,Among the Trees at Elmridge,Ella Rodman Church,"['ripe', 'fragrance', 'scent', 'smell', 'perfume', 'aroma', 'aromatic', 'odorous', 'sniff', 'ripeness']",11723
208,61,The Physiology of Taste,Brillat Savarin,"['perfume', 'scent', 'smell', 'odorous', 'fragrance', 'aroma', 'scented']",5434
211,60,A History of Champagne,Henry Vizetelly,"['perfume', 'smell', 'ripe', 'fragrance', 'bouquet', 'ripeness', 'odour', 'acrid', 'savour', 'aroma', 'putrid', 'pungency', 'scent', 'scented']",46953
213,60,The History of Sumatra,William Marsden,"['perfume', 'fragrance', 'aromatic', 'pungent', 'acrid', 'pungency', 'smell', 'scent', 'ripe', 'odour', 'musky', 'scented', 'putrid', 'musk', 'whiff']",16768
216,59,"Encyclopedia of Diet, Vol. 3 of 5",Eugene Christian,"['odorous', 'pungent', 'ripe']",50213
218,58,Five Years Of Theosophy,Various,"['pungent', 'fragrance', 'savour', 'smell', 'scent', 'odour', 'odorous']",14378
219,58,"The Natural History of Pliny, Vol. 2 of 6",Pliny the Elder,"['smell', 'fetid', 'odour', 'stench', 'putrid', 'acrid']",60230
222,58,"A Treatise on Tobacco, Tea, Coffee, and Chocolate",Simon Pauli,"['putrid', 'odorous', 'fetid', 'smell', 'acrid', 'fragrance', 'scent']",53027
228,57,A Year in a Lancashire Garden,Henry Arthur Bright,"['scent', 'odour', 'smell', 'aromatic', 'ripe', 'perfume', 'fragrance', 'musk', 'whiff', 'aroma', 'scented', 'odorous']",39673
229,57,Facts About Champagne and Other Sparkling Wines,Henry Vizetelly,"['bouquet', 'perfume', 'fragrance', 'savour', 'ripe', 'aroma', 'acrid', 'odour', 'scented', 'aromatic', 'musky']",20889
230,57,"Buffon's Natural History, Volume VIII of 10",Georges Louis Leclerc,"['smell', 'scent', 'musk', 'aromatic', 'odour', 'ripe', 'perfume', 'acrid']",45821
